"Time","Voltage","Excitation_Voltage","Ratio","Force (lbs)"
162.7197,0.004,14.94141,6.824817953360535e-08,-0.03464791095162113
162.7596,0.004,14.94446,1.361103166172507e-08,-0.006909983770965401
162.7597,0.004,14.95819,-2.320697901958329e-07,0.1178160865273683
162.7597,0.004,14.94903,-6.821339124785499e-08,0.0346302498002897
162.7597,0.004,14.94141,6.824817953360535e-08,-0.03464791095162113
162.7996,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
162.7997,0.004,14.94751,-4.100381907829517e-08,0.02081662370791304
162.7997,0.004,14.95285,-1.365709216209873e-07,0.06933367546565569
162.7997,0.004,14.94293,4.101638672676872e-08,-0.02082300399187312
162.8396,0.00399,14.95285,-8.053397516433669e-07,0.4088510520196436
162.8397,0.004,14.93988,9.566472486052802e-08,-0.04856661219141842
162.8397,0.00399,14.94751,-7.100115668570218e-07,0.3604552928912904
162.8397,0.00399,14.95056,-7.644676526932575e-07,0.3881012993594729
162.8796,0.004,14.94903,-6.821339124785499e-08,0.0346302498002897
162.8797,0.00399,14.94675,-6.964387226309323e-07,0.3535646959358915
162.8797,0.004,14.94675,-2.739695769874524e-08,0.01390875708595344
162.8797,0.00399,14.93988,-5.736846942780774e-07,0.2912455150817233
162.9196,0.00399,14.95514,-8.461993335449891e-07,0.4295944500842145
162.9196,0.00399,14.94293,-6.281964115665032e-07,0.3189197642607702
162.9197,0.004,14.94141,6.824817953360535e-08,-0.03464791095162113
162.9197,0.004,14.94141,6.824817953360535e-08,-0.03464791095162113
162.9596,0.004,14.94293,4.101638672676872e-08,-0.02082300399187312
162.9597,0.004,14.94751,-4.100381907829517e-08,0.02081662370791304
162.9597,0.004,14.94293,4.101638672676872e-08,-0.02082300399187312
162.9597,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
162.9996,0.004,14.95285,-1.365709216209873e-07,0.06933367546565569
162.9996,0.004,14.9437,2.722344777091133e-08,-0.01382067039162848
162.9997,0.004,14.94446,1.361103166172507e-08,-0.006909983770965401
162.9997,0.004,14.93759,1.367104402624731e-07,-0.06940450562551234
163.0396,0.00399,14.9498,-7.509003459191753e-07,0.381213513631353
163.0397,0.004,14.95514,-1.775329084897654e-07,0.09012906199654565
163.0397,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
163.0398,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
163.0796,0.004,14.94827,-5.46092968576879e-08,0.02772378791033022
163.0797,0.004,14.93683,1.503353806388188e-07,-0.07632155050651641
163.0797,0.00399,14.95056,-7.644676526932575e-07,0.3881012993594729
163.0797,0.004,14.94446,1.361103166172507e-08,-0.006909983770965401
163.1196,0.004,14.95056,-9.559638633260337e-08,0.04853191841282566
163.1197,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
